Gene.symbol	adj.P.Val	logFC
ZNF507	4.28051204606011e-13	2.70520930338889
ANKRD28	1.72222874595178e-12	3.87291860205556
MAMDC2	1.72222874595178e-12	4.32048214183333
SLC38A1	2.44370090776893e-09	4.50307048872222
STK26	7.36074292815113e-09	1.50079901111111
NPR3	3.85284442966096e-08	4.26849268044444
NPR3	1.40309229802674e-07	4.44652740705556
IFT80	1.55697188637102e-07	2.44517407327778
KIT	1.87753751439136e-07	5.93137807372222
COL24A1	3.73344005234601e-07	2.41149761855556
CDCA7L	4.29494183708959e-07	4.11945463738889
HIST1H2BD	9.04603235136578e-07	2.98830685377778
TP53BP1	1.9495165365117e-06	1.63984565683333
DEPTOR	2.0403855825974e-06	3.67998719716667
SEPP1	2.0403855825974e-06	3.47760037661111
SNHG12///SNORA16A///SNORA61///SNORA44///SNHG12	2.34514317519444e-06	2.43594780777777
SLC2A1	5.20740239641151e-06	2.47212933438889
SNHG1///SNORD26	5.8539341144255e-06	2.31557195544444
SNORD30	5.92554538103653e-06	2.5574596285
HOXB3	7.00656935805224e-06	2.30344504444444
HIST1H2AG	7.3900276974681e-06	2.86405523844444
SNORD52	1.14792431877678e-05	2.71197277811111
GOLGA8DP///GOLGA8CP///GOLGA8B///GOLGA8A	1.20488655588111e-05	2.87513036666667
NRG4	1.25849557734685e-05	3.20471043388889
SNORD44	1.55283877521056e-05	2.26784100966667
MAP7	1.55283877521056e-05	2.57744987622222
HIST1H3D///HIST1H2AD	1.65286947392313e-05	2.60310472766667
SMC4	2.36761404939556e-05	2.29676294977778
HIST1H2AK	2.46343690332621e-05	2.30833814916667
HOXB5	2.65981742993464e-05	1.56852938933333
MSRB3	3.35523701355429e-05	3.76966463527778
PRSS57	3.4713225124708e-05	2.63206846394444
TFDP2	3.52072018199756e-05	3.4662966095
WEE1	3.96209744882689e-05	2.86129397355556
ANKRD36///ANKRD36B	4.21095990776591e-05	2.49289020983333
TM4SF1	4.4725392693011e-05	2.75882188616667
ITM2C	4.56444269086053e-05	2.85969330894445
SNORD78	4.96850479438158e-05	2.45916389127778
PMS2P9///PMS2P7///PMS2P6///DTX2P1-UPK3BP1-PMS2P11///LOC441259///PMS2///PMS2P3///PMS2P5///PMS2P4///PMS2P2///PMS2P1///PMS2P6///PMS2P3///PMS2P2///PMS2P1	5.06207501845075e-05	1.39363853472222
SNORD74	5.72448059259989e-05	1.76446663316666
	6.38177631621919e-05	1.98795633472222
HIST1H1C	7.31215492984758e-05	2.03791358688889
SNHG1///SNORD31	7.31215492984758e-05	2.01218310472222
ALDH18A1	7.44427965840959e-05	3.96767261722222
SNORD75	8.22554382027364e-05	2.41924460483333
HIST1H1B	9.00542822839258e-05	5.38391744005556
SMYD3	0.000111041946528573	2.18738534138889
HIST1H3B	0.000117503128321277	5.40613475133333
LOC102724093///GOLGA6L3///GOLGA6L10///GOLGA6L4///GOLGA6L17P///GOLGA6L9///GOLGA6L5P	0.000118850656815305	1.43042004222222
HIST1H2BN///HIST1H2AK	0.000121707864526297	1.78987413133333
TMEM14A	0.000123775946798113	2.07258004244445
ANKRD36BP2///ANKRD36///ANKRD36B	0.000138076086206436	2.545638725
TFPI	0.000150394690199374	4.09467084983333
SPNS2	0.000151680128241902	1.70338195466667
ANKRD36BP2///ANKRD36C///ANKRD36///ANKRD36B	0.000159274240166691	2.31895191411111
SNORD15A	0.000162903829676253	1.42138994161111
C3orf80	0.000178980009062953	2.17616135405556
AKR1C3	0.000182984845526928	3.72285706177778
SNORD76///GAS5	0.000192770645352031	1.68470440227778
DLEU1	0.000209417236835224	2.54408704377778
	0.000232722399740023	2.28520124272222
CDK6	0.000233974527220241	3.86836619688889
SNORA61///SNHG12	0.000239670023480409	2.00022752694444
PM20D2	0.000247973888547141	2.26758497438889
MACC1	0.00025817541459098	3.492428541
TPSB2///TPSD1///TPSAB1	0.000262043851650729	1.95090180605555
	0.000289922402920726	2.41807123844444
STMN1	0.000291628992785177	4.33719421677778
LOC102724093///GOLGA6L3///GOLGA6L10///GOLGA6L4///GOLGA6L17P///GOLGA6L9///GOLGA6L5P	0.000297761586120997	1.34710898488889
MMRN1	0.000307657955227163	3.60208650805556
CENPK	0.000307657955227163	3.28427861038889
CYP7B1	0.000314586350103127	1.54744568211111
HOXB4	0.000314586350103127	1.60008532655556
CPA3	0.000314586350103127	3.42232587605555
HIST2H3D///HIST2H3A///HIST2H3C	0.000324762043069613	3.4125293055
WEE1	0.000327365387337122	3.57760845272223
PPT2-EGFL8///EGFL8///PPT2	0.000341786951058055	2.03449258177778
ANKRD36B	0.000362980357630895	2.47354781538889
SUCNR1	0.00038074879527996	2.83947511438889
SH3TC2	0.000387079634182458	1.13678826288889
VPS13A	0.000413704340668936	2.03053933883334
	0.000416322979276824	2.16248760422222
ZCCHC11	0.000432984072466054	1.26383921627778
CPXM1	0.000435770534987987	4.02244866777778
STAG3L5P-PVRIG2P-PILRB///STAG3L2///STAG3L3///STAG3L1///STAG3	0.000460795080874358	1.528022755
HIST2H3D///HIST2H3A///HIST2H3C	0.000460795080874358	3.40021228583333
RASGRP3	0.00046472458966905	3.86888944688889
SLC9B2	0.00047965660540808	2.3371480205
ST8SIA6	0.000515954123262803	3.34782765194445
SNHG1///SNORD27	0.000526845717144906	2.54095487027778
MSI2	0.000555670414529327	2.55516939427778
HIST1H3H	0.000576724289751345	2.84141038905556
GFI1	0.000596477192953663	2.60657232888889
	0.000645437391181947	1.34140670788889
CA1	0.000649716282238829	4.51091648494445
SLC45A3///SLC45A3	0.000651402344347552	1.72777931244445
FANCD2	0.000651402344347552	2.21640745288889
MMP2	0.000658339872013642	1.91772437761111
KIAA0101	0.000666619058472622	5.71632108444445
B3GALNT1	0.000676109537508059	2.21272978222222
SLC35F2	0.000687352747973243	3.51390348666667
MACF1	0.000692016460355525	1.41082113672222
MPO	0.000692016460355525	4.76807339166667
HPGDS	0.000720745651084236	3.12751320094445
GOLGA8DP///GOLGA8CP///GOLGA8B///GOLGA8A	0.000815760260925703	3.70463023011111
SLC4A1	0.000822699110988009	3.03704088338889
MPL	0.000822947753882194	1.4764834185
PTBP2	0.000833586038493186	1.743012648
TCTN2	0.000877390796359853	1.68832626166667
CD69	0.000895473164626558	4.50643229633334
MEIS1	0.000896247821992543	4.12492543194444
CLU	0.000900593034054201	2.32903248272222
ATAD1	0.000907159711690231	1.32192125322222
SNORD28	0.000980807460866886	2.18384753027778
