Gene.symbol	adj.P.Val	logFC
CLEC6A	1.28709136656705e-37	-3.90374352805556
SLC46A2	1.30000357554555e-31	-2.81230648716667
PLA2G7	1.80733396924239e-31	-5.04615385011111
OLFM1	2.32380155805066e-24	-2.28919869705555
FPR3	1.40919957341357e-18	-2.78716699844444
CXCL10	8.94272154313579e-18	-3.50970897511111
CXCL9	1.2720729800142e-17	-2.1297710635
SMPDL3A	2.18901957751232e-16	-3.35107487722222
HNMT	3.08917957726717e-16	-3.28372489738889
PID1	4.61163636603792e-15	-4.51042408366667
NRG1	5.89448576880387e-15	-2.04224946055556
TGFBI	8.92766148428632e-15	-4.16943660311111
SLC24A4	1.95421906639159e-14	-3.04069401355556
SASH1	2.83857594405455e-14	-2.62514910627778
RNASE4///ANG	2.12102124857764e-13	-2.54737313427778
ASGR1	2.90407243930795e-13	-1.48211336983333
ASGR2	6.02114366411947e-13	-2.37882706238889
	1.1754152878617e-12	-1.59822637694444
ADAMTS5	1.59140765101471e-12	-1.64435790188889
RTN1	1.72222874595178e-12	-3.19383642805555
LRP1	3.53248212393841e-12	-3.54956433716667
TMEM176A	4.35602239238554e-12	-3.23429013738889
PGA4///PGA3///PGA5	4.64951101523543e-12	-1.86977367827778
RAB39A	9.87104433608182e-12	-2.59696452888889
LGALS2	5.66314463494213e-11	-3.41041646961111
NID1	5.66314463494213e-11	-2.44178830383333
	9.03004508868165e-11	-1.02559136388889
FOLR2	1.11599921827664e-10	-2.75136946433333
RPH3A	1.11599921827664e-10	-1.61185586038889
RBP7	2.01871967447982e-10	-3.53573504827778
EPB41L3	2.40436239991964e-10	-3.65871240816667
CD300E	4.51161647679884e-10	-2.68655663438889
	5.51019323429028e-10	-1.29478374211111
SEMA3C	5.7154284221021e-10	-2.95730432211112
C3orf14	5.79493291361864e-10	-1.76535015694445
AATBC	1.38978345627485e-09	-1.58221838661111
FAM198B	1.44556425055652e-09	-3.0044799485
RAPH1	1.44556425055652e-09	-1.91828562866667
ARHGEF10L	1.60611960863318e-09	-1.42561047877778
UBXN11	2.21451854910464e-09	-1.76402018522222
	2.44121089040216e-09	-3.23768843527778
ADGRD1	2.96931802590099e-09	-2.01865393044444
ADAP2	3.14466117874493e-09	-2.57408567311111
HFE	3.41680425693351e-09	-1.80325297961111
SHTN1	3.88566574784854e-09	-3.35259454677778
SLC37A2	4.26637998009148e-09	-2.66785992788889
GGTA1P	4.74135036992493e-09	-2.82145323877778
TMED7-TICAM2///TICAM2///TMED7	6.0934765069176e-09	-1.61853024677778
LOC653653///AP1S2	6.37458873599077e-09	-3.05587238783333
	6.96375353428382e-09	-1.49323389261111
ABCC3	6.96375353428382e-09	-1.43171049844444
MYCL	6.96375353428382e-09	-2.42670866011111
SRD5A1	8.18407695150467e-09	-1.83737225894445
LILRA3	2.09545600745199e-08	-4.34274282038889
SMARCD3	2.10946936226722e-08	-2.28127717672222
CAMK1	2.34037663633535e-08	-2.75188231872222
TPPP3	2.34037663633535e-08	-1.82554804205556
SLC35F6	3.77181390546507e-08	-1.61895129627778
MS4A14///MS4A7	4.37219778179178e-08	-3.42360735938889
C15orf38-AP3S2///ARPIN	5.3259578822476e-08	-1.63658310577778
CYP27A1	5.98567592378607e-08	-4.05556339544445
CYP1B1	1.07696426866463e-07	-4.96931965811111
	1.08728251311391e-07	-1.86140292455555
